ID,Languoid_ID,Lemma_ID,Form,Meaning,Comment,Source
W-29,onw,L-11,air-out,renovation?,comment,OND[8]
W-30,xnz,L-11,ēru,new,comment,zyhlarz1928a[171]
W-2072,brk,L-110,essi-gafai,hand (arm + neck),comment,thelwall1977[202]
W-2297,brk,L-110,enesi,hand,comment,macmichael1920[206]
W-2807,pnu,L-110,*es-i,,comment,rilly2010[no. 108]
W-403,onw,L-110,"ei, e",hand,comment,OND[63]
W-404,dgl,L-110,íi,"hand, arm, handle",comment,armbruster1965[103]
W-405,xnz,L-110,íi,"Hand, Arm, bes. Unterarm, Griff",comment,massenbach1962[175]
W-407,pkn,L-110,*oʃ-i,"hand, arm",comment,jakobiA[no. 24]
W-408,mei,L-110,ə̀ssì,"hand, arm",comment,werner1993[142]
W-2280,brk,L-112,uzzug,fire,comment,macmichael1920[201]
W-2946,pnu,L-112,*usi-gu,,comment,rilly2010[no. 68]
W-415,onw,L-112,"eig, eik, eg",fire,comment,OND[64]
W-416,dgl,L-112,íig,"fire, light, blossom",comment,armbruster1965[104]
W-417,xnz,L-112,íig,"Feuer, Hölle, Ärger",comment,massenbach1962[176]
W-418,mei,L-112,ússí,fire,comment,werner1993[139]
W-420,pkn,L-112,*íkà,fire,comment,jakobiA[no. 210]
W-421,onw,L-113,"eig, eik(k)",near,comment,OND[64]
W-422,xnz,L-113,"igitti, egetti","Nähe, nahe",comment,massenbach1962[176]
W-423,dgl,L-113,egetti,"nearness, near",comment,armbruster1965[63]
W-424,mei,L-113,ə́gə́dí,relative,comment,werner1993[141]
W-425,mei,L-113,ə́gə́dín,near,comment,werner1993[141]
W-426,fia,L-113,eget,nähe,comment,reinisch1879[33]
W-427,onw,L-113,eik-ir,near,comment,OND[65]
W-428,onw,L-114,"eig-ir, ek",to tell,comment,OND[65]
W-429,dgl,L-114,íig,"to tell, narrate",comment,armbruster1965[104]
W-430,fia,L-114,iig,"sagen, sprechen",comment,reinisch1879[70]
W-431,mei,L-114,-kə́hèm,to say ?,comment,werner1993[104]
W-432,onw,L-115,"eidñ, ēdñ",to keep,comment,OND[66]
W-433,fia,L-115,irñ,warten,comment,reinisch1879[74]
W-434,dgl,L-115,iriñ,"to wait, remain, await, expect",comment,armbruster1965[111]
W-435,xnz,L-115,iriñ,warten,comment,massenbach1962[177]
W-436,onw,L-116,"eikk, ēkk, ekk, irk","to lead, bring, move, direct, instruct",comment,OND[66]
W-437,fia,L-116,ekki,"bringen, holen, füren",comment,reinisch1879[34]
W-2217,mei,L-117,iddi,woman,comment,macmichael1918[51]
W-2828,pnu,L-117,*il-di,,comment,rilly2010[no. 66]
W-438,onw,L-117,"eil; pl. eilēu, ēlwi, eiliou",woman,comment,OND[68]
W-439,mei,L-117,ìddì,"woman, wife",comment,werner1993[92]
W-440,pkn,L-117,"*el-d̪i, *el-i","woman, wife",comment,jakobiA[no. 130]
W-544,onw,L-117,(e)itt < eil + t,"woman, wife",comment,OND[80]
W-547,fia,L-117,id-een,"frau, gattin",comment,reinisch1879[70]
W-548,onw,L-117,eit-en,"married woman, wife",comment,OND[80]
W-441,onw,L-118,ei(l),to say,comment,OND[68]
W-442,fia,L-118,ii,sagen,comment,reinisch1879[69]
W-443,onw,L-119,"eille, elle",wheat,comment,OND[69]
W-444,fia,L-119,ille,weizen,comment,reinisch1879[71]
W-445,dgl,L-119,ílle,wheat,comment,armbruster1965[106]
W-446,xnz,L-119,íllē,Weizen,comment,massenbach1962[176]
W-2322,pkn,L-12,*ak-,,comment,jakobiA[no. 90]; jakobiA[no. 83]
W-2323,mei,L-12,àaghêm,"sit, stay, lie",comment,werner1993[77]
W-2740,pnu,L-12,*áag-,,comment,rilly2010[no. 8]
W-31,dgl,L-12,āg,"sit, remain",comment,armbruster1965[6]
W-32,fia,L-12,āg,"sein, bleiben, sitzen",comment,khalil1996a[15]
W-33,onw,L-12,"ak, ag","sit, remain, live",comment,OND[8]
W-34,xnz,L-12,āg,,comment,
W-2533,mei,L-120,ə́ədí,"dukhn, millet",comment,werner1993[141]
W-2534,dgl,L-120,énde,bulrush millet,comment,armbruster1965[65]
W-2535,xnz,L-120,erdée,dukhn,comment,massenbach1962[161]
W-2536,pkn,L-120,*ɛnd̪ɛ,"millet, dukhn",comment,jakobiA[no. 416a]
W-2805,pnu,L-120,*ernde < *er-n-de,,comment,rilly2010[no. 114]
W-453,onw,L-121,"ein, en",to be,comment,OND[69]
W-454,dgl,L-121,é,to be,comment,armbruster1965[58]
W-455,xnz,L-121,e,sein,comment,massenbach1962[159]
W-456,mei,L-121,ìi(r)-hêm,"to exist, live",comment,werner1993[94]
W-497,mei,L-121,íin,being,comment,werner1993[93]
W-2336,brk,L-122,iir,this,comment,rilly2010[no. 20]
W-2829,pnu,L-122,*in,,comment,rilly2010[no. 20]
W-457,onw,L-122,ein,this,comment,OND[70]
W-458,dgl,L-122,ín,this,comment,armbruster1965[107]
W-459,xnz,L-122,in,dieser,comment,massenbach1962[176]
W-460,fia,L-122,in,diser,comment,reinisch1879[72]
W-461,mei,L-122,"nè, nèn, nèen",this,comment,werner1993[106]
W-2102,brk,L-123,niin,mother,comment,thelwall1977[204]
W-2162,brk,L-123,een,woman,comment,thelwall1977[208]
W-2219,brk,L-123,ein,woman,comment,macmichael1920[201]
W-2220,fia,L-123,id-een,"Frau, Gattin",comment,khalil1996a[45]
W-2235,brk,L-123,ennon,mother,comment,macmichael1920[198]
W-2791,pnu,L-123,*éen,,comment,rilly2010[no. 113]
W-462,onw,L-123,"ein, en",mother,comment,OND[72]
W-463,dgl,L-123,éen; pl. éeni,mother,comment,armbruster1965[64]
W-464,xnz,L-123,éen,"Frau, Mutter",comment,massenbach1962[161]
W-465,dgl,L-123,éen; pl. éenci,"woman, wife",comment,armbruster1965[65]
W-466,mei,L-123,éen,mother,comment,werner1993[87]
W-467,pkn,L-123,*ɛ́n-à,mother,comment,jakobiA[no. 116]
W-545,onw,L-123,eit-en,"married woman, wife",comment,OND[80]
W-546,fia,L-123,id-een,"frau, gattin",comment,reinisch1879[70]
W-2792,pnu,L-124,*een-as(ti) > *eenes(ti),,comment,rilly2010[no. 171]
W-468,onw,L-124,"en-ist, en-est",sister,comment,OND[72]
W-469,dgl,L-124,essi,sister,comment,armbruster1965[67]
W-470,fia,L-124,essi,schwester,comment,reinisch1879[37]
W-471,mei,L-124,éeshí,sister,comment,werner1993[89]
W-472,xnz,L-124,issi,Schwester,comment,massenbach1962[177]
W-2271,brk,L-125,inintōn,sister,comment,macmichael1920[200]
W-2652,onw,L-125,"enisti, enesti",sister,comment,OND[72]
W-2653,fia,L-125,essi,Schwester,comment,khalil1996a[44]
W-2856,pnu,L-125,*kege-di < *kedi-di,"with dissimilation; mei, fia, onw have < *eenes(ti) < *een-as(ti) ""girl of the mother""",comment,rilly2010[no. 171]
W-473,dgl,L-125,éeŋ-kegid,"maternal aunt, mother's sister",comment,armbruster1965[65]
W-474,xnz,L-125,indi-kégid,Mutterschwester,comment,massenbach1962[186]
W-475,pkn,L-125,*kɪd̪ < *keedi,fils de la soeur,comment,rilly2010[no. 171]
W-476,brk,L-125,kiɳɳ-on,"sister, check",comment,rilly2010[no. 171]
W-477,mei,L-125,édédí,sister's son,comment,werner1993[86]
W-2947,pnu,L-126,*usi-n-(gor),"lit. ""côté du sorgho"" (main utilisée pour manger)",comment,rilly2010[no. 50]
W-478,onw,L-126,"eiono, eiōno",right,comment,OND[72]
W-479,dgl,L-126,"íyin, íin",right hand,comment,armbruster1965[104]
W-480,xnz,L-126,"íyin, íin",rechts,comment,massenbach1962[178]
W-481,fia,L-126,iiyon,"rechts, die rechte seite",comment,reinisch1879[76]
W-482,pkn,L-126,*oɟeŋ,right (hand),comment,jakobiA[no. 28]
W-483,mei,L-126,úsíngə́l,right side,comment,werner1993[139]
W-484,mei,L-126,"ə́sə́ngèl, ə́sə́ngòl, ə́síngèl",right side,comment,werner1993[142]
W-485,pkn,L-126,*wen < *uin,(à) droite,comment,rilly2010[no. 50]
W-486,onw,L-127,ēu-gir,to hide,comment,OND[72]
W-487,onw,L-127,ei-gir,to hide,comment,OND[65]
W-488,xnz,L-127,"íiw, íi",vergessen,comment,massenbach1962[178]
W-489,dgl,L-127,íiu,to forget,comment,armbruster1965[105]
W-490,fia,L-127,agar,vergessen,comment,reinisch1879[5]
W-491,pkn,L-127,*bog-?,to forget,comment,jakobiA[no. 544]
W-492,mei,L-127,pàyèer-hêm,to forget,comment,werner1993[114]
W-2165,brk,L-128,edi,you (sg),comment,thelwall1977[208]
W-2299,brk,L-128,idi,you (sg),comment,macmichael1920[207]
W-2822,pnu,L-128,*i(n) ± *-r,,comment,rilly2010[no. 184]
W-493,onw,L-128,eir,you (sg.),comment,OND[73]
W-494,dgl,L-128,ér,you (sg.),comment,armbruster1965[65]
W-495,xnz,L-128,er,du,comment,massenbach1962[161]
W-496,mei,L-128,íin,you (sg.),comment,werner1993[93]
W-498,pkn,L-128,*ar,you (sg.),comment,jakobiA[no. 604]
W-499,fia,L-128,ir,du,comment,reinisch1879[73]
W-2638,fia,L-129,ewir,"säen, pflanzen",comment,khalil1996a[44]
W-2639,dgl,L-129,teer,to sow. plant,comment,armbruster1965[197]
W-2640,dgl,L-129,téeri,seed,comment,armbruster1965[198]
W-2641,onw,L-129,tirp,harvest,comment,OND[175]
W-2642,brk,L-129,téerè,to cultivate,comment,
W-2643,mei,L-129,tíirhèm,to grow,comment,werner1993[132]
W-2644,pkn,L-129,*t̪ir-,"to sow, cultivate",comment,jakobiA[no. 261]
W-2926,pnu,L-129,*teer-,,comment,rilly2010[no. 167]
W-500,onw,L-129,eir,to sow,comment,OND[75]
W-501,dgl,L-129,éer,"to fertilize, impregnate (palm tree)",comment,armbruster1965[66]
W-502,xnz,L-129,éer,die Palme befruchten,comment,massenbach1962[161]
W-511,onw,L-131,"eirkeis, irkis",forty,comment,OND[75]
W-512,fia,L-131,irkiis,,comment,
W-2028,brk,L-132,izzidi,earth,comment,thelwall1977[201]
W-2282,brk,L-132,izzidi,earth,comment,macmichael1920[201]
W-2452,brk,L-132,ʃikidi,smoke (dust?),comment,thelwall1977[205]
W-513,onw,L-132,iskit,earth,comment,OND[77]
W-514,mei,L-132,éssí,"dust, storm, sandstorm, wind ?",comment,werner1993[89]
W-515,fia,L-132,"iskiid, iskiit","feiner sand, staub",comment,reinisch1879[74]
W-516,dgl,L-132,ésked,"loose earth, dust",comment,armbruster1965[66]
W-517,xnz,L-132,esked,"trockene, lose Erde, Staub",comment,massenbach1962[162]
W-2365,onw,L-133,egid,to ask,comment,OND[56]
W-2833,pnu,L-133,*is-kir,,comment,rilly2010[no. 39]
W-518,onw,L-133,iskel,"to beg, beseech",comment,OND[76]
W-519,fia,L-133,issig,fragen,comment,reinisch1879[75]
W-520,dgl,L-133,isíkk(i),"to ask, ask of, ask for",comment,armbruster1965[112]
W-521,xnz,L-133,issig,fragen,comment,massenbach1962[177]
W-522,mei,L-133,árcàhèm,to ask ?,comment,werner1993[81]
W-523,onw,L-134,"eit, et",to take. receive,comment,OND[78]
W-524,dgl,L-134,ed,to take in marriage,comment,armbruster1965[59]
W-525,xnz,L-134,ed,nehmen,comment,massenbach1962[160]
W-526,fia,L-134,ed,"nemen, heiraten",comment,reinisch1879[32]
W-527,pkn,L-134,*ɛd̪-,"to marry, to a wife",comment,jakobiA[no. 112]
W-528,mei,L-134,àar-hèm,"to catch, take, marry ?",comment,werner1993[81]
W-529,onw,L-135,egeti,kettle,comment,OND[56]
W-530,xnz,L-135,egedii,Kessel,comment,massenbach1962[160]
W-2063,brk,L-136,"egidi, pl. ɛɛge",goat,comment,thelwall1977[202]
W-2064,pkn,L-136,"*ɔg-d̪ʊ, pl. *ɔg-i",goat,comment,jakobiA[no. 284]
W-2797,pnu,L-136,*eged,possibly loan from Berber,comment,rilly2010[no. 120]
W-531,onw,L-136,ektou,sheep,comment,Attiri[11.4]
W-532,xnz,L-136,éged,(weibliche) Schaf,comment,massenbach1962[160]
W-533,dgl,L-136,éged,sheep,comment,armbruster1965[63]
W-534,mei,L-136,ìccí,female sheep,comment,werner1993[91]
W-535,abu,L-136,"ə̀gə̀d̪ə̀t̪í, pl. ə̀gét̪ɪ́nd̪í",sheep,comment,jakobiA[no. 287]
W-2262,mei,L-137,"ett, pl. irr",man,comment,macmichael1918[53]
W-2575,brk,L-137,"iídì, pl. ìil",,comment,
W-2824,pnu,L-137,"*id, pl. *ir",,comment,rilly2010[no. 141]
W-537,onw,L-137,"eit, pl. ei","man, person",comment,OND[80]
W-538,dgl,L-137,íd,man,comment,armbruster1965[104]
W-539,xnz,L-137,id,Mann,comment,massenbach1962[175]
W-540,fia,L-137,id,mann,comment,reinisch1879[70]
W-541,mei,L-137,ír,"man, people",comment,werner1993[93]
W-542,mei,L-137,èd,man,comment,werner1993[85]
W-543,pkn,L-137,"*id̪, pl. *ir","person, man, people",comment,jakobiA[no. 104]
W-1877,pkn,L-138,*ort̪-?,to send,comment,jakobiA[no. 95]
W-549,onw,L-138,"ij, ej","to send, impel",comment,OND[81]
W-550,mei,L-138,ə̀ət-íhèm,"to send, throw",comment,werner1993[81]
W-881,onw,L-138,"m-eij, m-ij",to disobey,comment,OND[119]
W-2625,fia,L-139,sègèd,"Skorpion, pre-Nubian",comment,khalil1996a[96]
W-2626,pkn,L-139,*ɪrɪn?,scorpion,comment,
W-2627,brk,L-139,ŋi(l)ɲe,scorpion,comment,
W-2735,pnu,L-139,?,,comment,rilly2010[no. 163]
W-551,onw,L-139,ijjin,scorpion,comment,OND[81]
W-552,dgl,L-139,iccíin,scorpion,comment,armbruster1965[105]
W-553,xnz,L-139,"icíin, ecíin",Skorpion,comment,massenbach1962[175]
W-554,mei,L-139,òkkòonyí,scorpion,comment,werner1993[108]
W-39,dgl,L-14,all,,comment,
W-40,fia,L-14,all,"scheinen, erscheinen",comment,khalil1996a[18]
W-41,onw,L-14,(a)a(l)l,"to shine, appear",comment,OND[9]
W-42,xnz,L-14,all,,comment,
W-2264,brk,L-141,uzzei,corn,comment,macmichael1920[201]
W-2656,pkn,L-141,"*ui, sg. ui-t̪u",,comment,
W-2657,brk,L-141,uzze,maize,comment,thelwall1977[203]
W-2658,brk,L-141,uze,durra (millet),comment,thelwall1977[201]
W-2659,mei,L-141,ə́ədí,"dukhn, millet",comment,werner1993[141]
W-2660,onw,L-141,made,"dura, millet, pre-Nubian",comment,OND[108]
W-2948,pnu,L-141,"*usi, sg. usi-di",,comment,rilly2010[no. 174]
W-447,onw,L-141,eimil,"millet?, pre-Nubian",comment,OND[69]
W-448,xnz,L-141,márē,"Durra, pre-Nubian",comment,massenbach1962[195]
W-449,dgl,L-141,máre,"great millet, pre-Nubian",comment,armbruster1965[13]
W-450,fia,L-141,máre,"durra, pre-Nubian",comment,reinisch1879[109]
W-557,onw,L-141,eiw(i),"wheat, grain",comment,OND[82]
W-558,fia,L-141,iw,"getreide, korn, frucht",comment,reinisch1879[76]
W-559,xnz,L-141,íiw,"Getreide (bes. Weizen, Gerste)",comment,massenbach1962[178]
W-560,dgl,L-141,íiu,"grain, corn",comment,armbruster1965[104]
W-561,onw,L-142,"kadd, kand",curse,comment,OND[83]
W-562,xnz,L-142,garri,"schlecht, häßlich, Unglück bringend",comment,massenbach1962[166]
W-563,onw,L-143,kadit,"to scatter, broadcast",comment,OND[83]
W-564,xnz,L-143,kaddi,"streuen, etwas ausbreiten",comment,massenbach1962[182]
W-565,onw,L-144,kadj-ider,ripening,comment,OND[83]
W-566,fia,L-144,karj,"to cook (intr.), to become ripe",comment,reinisch1879[81]
W-567,dgl,L-144,karj,"to testify, to get ripe",comment,armbruster1965[119]
W-568,xnz,L-144,kárij,"reifen, gar werden, heilen",comment,massenbach1962[184]
W-569,pkn,L-144,*karʃ-,to cook,comment,jakobiA[no. 219]
W-570,pkn,L-144,*karʃ-,to ripen,comment,jakobiA[no. 472]
W-571,mei,L-144,àrcàyâm,it is ripe,comment,werner1993[81]
W-572,onw,L-145,kak,to bear,comment,OND[83]
W-573,onw,L-145,kakil,first-born,comment,OND[83]
W-574,dgl,L-145,káag,"to carry, bear",comment,armbruster1965[115]
W-575,dgl,L-145,kága,first-born,comment,
W-576,xnz,L-145,káag,"tragen, etwas bei sich haben",comment,massenbach1962[183]
W-577,fia,L-145,kaag,"etw. in der hand halten, besi sich tragen",comment,reinisch1879[78]
W-578,pkn,L-145,*kag-,to carry,comment,jakobiA[no. 224]
W-641,onw,L-145,kaj,"to keep, hold",comment,OND[86]
W-579,onw,L-146,kak-kan-ni,rays (of the sun),comment,OND[83]
W-580,fia,L-146,kak,sich wärmen,comment,reinisch1879[79]
W-581,xnz,L-146,kakke,"warm sein, sich wärmen",comment,massenbach1962[183]
W-582,dgl,L-146,kákke,"get warm at, warm oneself at",comment,armbruster1965[116]
W-583,kko,L-146,"kǒːm ~ kǔːm, kʊ̀m ~ kùkùˑm",warm,comment,jakobiA[598]
W-2058,brk,L-147,kalli,food,comment,thelwall1977[201]
W-2059,pkn,L-147,*kol-,to eat (sg. object),comment,jakobiA[no. 392]
W-2847,pnu,L-147,*kal-,,comment,rilly2010[no. 110]
W-584,onw,L-147,kal,to eat,comment,OND[83]
W-585,xnz,L-147,kal,"essen, beißen",comment,massenbach1962[183]
W-586,dgl,L-147,kál,"to take food, eat",comment,armbruster1965[116]
W-587,onw,L-147,"kap, kip(p), kop","to eat, pre-Nubian",comment,OND[84]
W-588,fia,L-147,kab,"essen, pre-Nubian",comment,reinisch1879[77]
W-589,mei,L-147,ə̀l-hêm,to eat,comment,werner1993[141]
W-590,pkn,L-147,*kam-,to eat (pl. object),comment,jakobiA[no. 392]
W-591,onw,L-148,kalo,north,comment,OND[83]
W-592,fia,L-148,kálo,north,comment,reinisch1879[79]
W-593,xnz,L-148,kalúm,Norden,comment,massenbach1962[184]
W-594,dgl,L-148,kánne,north,comment,armbruster1965[118]
W-595,mei,L-148,ə̀ríi,north,comment,werner1993[142]
W-596,xnz,L-149,gen,sein,comment,massenbach1962[167]
W-597,dgl,L-149,-gen,"to be, only after adjective- and verb-concretions",comment,armbruster1965[77]
W-598,onw,L-149,"kan, ken, kin","to be, become",comment,OND[84]
W-599,fia,L-149,gen,"sein, besser sein",comment,reinisch1879[48]
W-43,dgl,L-15,alée,truth,comment,armbruster1965[13]
W-44,fia,L-15,alee,Wahrheit,comment,khalil1996a[17]
W-45,onw,L-15,ale,truth,comment,OND[9]
W-46,xnz,L-15,alée,Wahrheit,comment,massenbach1962[143]
W-2849,pnu,L-150,*kándi,,comment,rilly2010[no. 59]
W-600,onw,L-150,kand,thorn,comment,OND[84]
W-601,fia,L-150,kándi,messer,comment,reinisch1879[80]
W-602,xnz,L-150,kandi,"Messer, Dolch, der am Oberarm getragen wird",comment,massenbach1962[184]
W-603,xnz,L-150,kaddi,"Dorn, dorniges Reisig",comment,massenbach1962[182]
W-604,mei,L-150,ə́ədí,knife,comment,werner1993[141]
W-605,pwkn,L-150,*kond-,knife,comment,jakobiA[no. 248]
W-606,pekn,L-150,*kwàt-àr,knife,comment,jakobiA[no. 248]
W-607,onw,L-151,kau(ei),"to be naked, exposed",comment,OND[84]
W-608,fia,L-151,kaw,"sich zeigen, erscheinen",comment,massenbach1962[82]
W-609,dgl,L-151,káukau,"timird, shy (?)",comment,armbruster1965[120]
W-614,onw,L-152,korj,to break,comment,OND[85]
W-615,fia,L-152,korj,"brechen, teilen, spalten",comment,reinisch1879[96]
W-616,xnz,L-152,korj,"brechen, teilen",comment,massenbach1962[190]
W-617,onw,L-153,karr,"to grasp, hold",comment,OND[85]
W-618,fia,L-153,gar,"fangen, ergreifen, ertapper",comment,reinisch1879[46]
W-619,dgl,L-153,gar,"fangen, ergreifen, ertappen",comment,reinisch1879[46]
W-620,mei,L-153,àar-hèm,"to catch, take, marry, believe ?",comment,werner1993[81]
W-2159,brk,L-154,kolli,well,comment,thelwall1977[207]
W-2712,wll,L-154,wɔlí́,to draw water,comment,jakobiA[no. 223]
W-621,onw,L-154,kas-kas-e,baptistery,comment,OND[85]
W-622,dgl,L-154,kás,to draw water,comment,armbruster1965[119]
W-623,xnz,L-154,kás,schöpfen,comment,massenbach1962[185]
W-942,onw,L-154,ol,to draw water,comment,OND[125]
W-943,fia,L-154,oll,"schöpfen, giessen",comment,reinisch1879[133]
W-954,mei,L-154,òl,well,comment,werner1993[108]
W-624,onw,L-155,kas(s),"to take away, wipe away",comment,OND[85]
W-625,xnz,L-155,kassi,"tünchen, verputzen, verschmieren, lecken",comment,massenbach1962[185]
W-626,onw,L-156,kat,"to throw, pre-Nubian?",comment,OND[86]
W-627,fia,L-156,kat,werfen,comment,reinisch1879[81]
W-628,onw,L-157,katt,lamb,comment,OND[86]
W-629,fia,L-157,kátti,"der junge bock vom schaff, zige",comment,reinisch1879[82]
W-630,xnz,L-157,katti,Schaflamm,comment,massenbach1962[185]
W-631,mei,L-157,àccí,lamb,comment,werner1993[75]
W-632,pkn,L-157,*ɔr-t̪i-,lamb ?,comment,jakobiA[no. 289]
W-633,onw,L-158,kaš,to seek,comment,OND[86]
W-634,xnz,L-158,káaš,suchen,comment,massenbach1962[185]
W-635,onw,L-159,kaj,colt,comment,OND[86]
W-636,xnz,L-159,káj,Pferd,comment,massenbach1962[183]
W-637,dgl,L-159,káj,horse,comment,armbruster1965[115]
W-638,fia,L-159,kaj,pferd,comment,reinisch1879[79]
W-639,pkn,L-159,*koɟ(-i),horse,comment,jakobiA[no. 284]; jakobiA[no. 284a]
W-47,fia,L-16,ál(i),"Strick, Seil, Band, pre-Nubian",comment,khalil1996a[17]
W-48,onw,L-16,all,"to bind, pre-Nubian",comment,OND[10]
W-49,xnz,L-16,all,"to mend, pre-Nubian",comment,
W-2538,mei,L-160,éerhèm,"to climb, hop in dance",comment,werner1993[88]
W-2855,pnu,L-160,*keer-,,comment,rilly2010[no. 116]
W-640,onw,L-160,ked,to ascend,comment,OND[87]
W-642,fia,L-160,keer,"steigen, hinaufgehen",comment,reinisch1879[85]
W-643,onw,L-161,kel,"limit, fulness",comment,OND[87]
