ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
F-2750,pnu,P-495,*aŋgur,,fia and dgl have Ar. loanword,rilly2010[no. 52]
F-498,pkn,P-128,*ar,,you (sg.),jakobiA[no. 604]
F-2751,pnu,P-35,*ar-(e),,,rilly2010[no. 28]; rilly2010[no. 149]]
F-368,pkn,P-101,*àr-í,,"we (incl, excl)",jakobiA[607]
F-2752,pnu,P-7,*arr-e,,,rilly2010[no. 12]
F-2753,pnu,P-37,"*as, *as-ti",,,rilly2010[no. 69]
F-2754,pnu,P-9,*asil,,,rilly2010[no. 30]
F-1619,pkn,P-380,*aʃand̪i,,bark of tree,jakobiA[no. 476]
F-2755,pnu,P-506,*awa?,,,rilly2010[no. 82]
F-2756,pnu,P-273,*baab(-Vn) (*aboo),,,rilly2010[no. 140]
F-2757,pnu,P-265,*baag-,,,rilly2010[no. 45]
F-2758,pnu,P-493,*baan?,,,rilly2010[no. 38]
F-2759,pnu,P-274,*baar-,,,rilly2010[no. 195]
F-2760,pnu,P-281,*bal-,,,rilly2010[no. 175]
F-2761,pnu,P-513,*baɲ-,,,rilly2010[no. 98]
F-2762,pnu,P-523,*baɲ(ɲ),,,rilly2010[no. 138]
F-1925,pkn,P-200,*bar-,,to be tired,jakobiA[no. 58]
F-2763,pnu,P-500,*beer-,,,rilly2010[no. 71]
F-867,pkn,P-210,"*bel-, pl. *bɛl-",,bad,jakobiA[no. 575]
F-2764,pnu,P-511,*bel(-t),,,rilly2010[no. 93]
F-2765,pnu,P-468,*bel(-ti),,two roots,rilly2010[no. 26]
F-2766,pnu,P-475,*ber,,,rilly2010[no. 7]
F-2767,pnu,P-419,*ber-,,,rilly2010[no. 185]
F-2768,pnu,P-108,*bes(-an),,,rilly2010[no. 75]
F-1049,pkn,P-248,*bɛr,,one,jakobiA[no. 487]
F-1622,pkn,P-381,*bid̪-bid̪,,bat,jakobiA[no. 322]
F-2485,pekn,P-247,*big,,"to drop, throw down",jakobiA[]
F-2769,pnu,P-287,"*bil(l), *bilit-ti (lightning)",,,rilly2010[no. 1606]
F-1687,pkn,P-206,*bir-,,to circumcize,jakobiA[no. 54 e]
F-1974,pkn,P-458,"*bir-get̪i, *bir-ket̪i",,worm,jakobiA[no. 334]
F-2423,pkn,P-500,*bir-t̪i,,"strong, force, violence",jakobiA[no. 167]
F-1841,pkn,P-429,*bod̪,,to paint with color,jakobiA[no. 370]
F-1769,pkn,P-417,*bod̪-,,"to hit, slap, strike",jakobiA[no. 164]; jakobiA[no. 162]
F-491,pkn,P-127,*bog-?,,to forget,jakobiA[no. 544]
F-2513,pkn,P-516,*bogul-ko,,lion,
F-2514,pkn,P-517,*bogul-tejel,,leopard,
F-894,pkn,P-217,"*bol, pl. *bol-i",,dog,jakobiA[no. 294]
F-2676,pkn,P-212,*bor-d̪u,,sterile,
F-2313,pkn,P-484,*borg,,to steal,jakobiA[169]
F-2345,pkn,P-216,*bɔgol,,hyena,jakobiA[no. 319]
F-1758,pwkn,P-414,*bud̪ul-,,hare,jakobiA[no. 326h]
F-2770,pnu,P-79,*dag-i ~ *dag-ul,,,rilly2010[no. 81]
F-2771,pnu,P-517,*dagir (unclear vocalization),,,rilly2010[no. 103]
F-2772,pnu,P-323,*deen-,,,rilly2010[no. 47]
F-1455,pkn,P-343,*deɟ,,work ?,jakobiA[no. 353]
F-2773,pnu,P-413,*del(-ti),,,rilly2010[no. 25]
F-2774,pnu,P-428,*des,,,rilly2010[no. 80]
F-2607,pkn,P-355,*dɛ < *nee,,who?,
F-1734,pkn,P-407,"*d̪ɛt̪-, *d̪ɛʈ-",,to breathe,jakobiA[no. 50]; jakobiA[no. 383]
F-2775,pnu,P-86,*di-,,,rilly2010[no. 119]
F-1751,pkn,P-412,*d̪i-,,"to grow, get up",jakobiA[no. 464]
F-2776,pnu,P-91,*di-mer±n,,,rilly2010[no. 46]
F-2777,pnu,P-83,*dig,,,rilly2010[]
F-2508,pkn,P-515,*d̪igid̪-,,clay,jakobiA[no. 455a]
F-2778,pnn,P-87,*digir < *dagir (big),,"W: see ""to be full""",rilly2010[no. 125]
F-2779,pnu,P-90,"*diji, W *dijji",,"perhaps related to 87 ""many"", cf. 84 deg~dej (intensivum -j)",rilly2010[no. 29]
F-2780,pnu,P-416,*dill-e,,,rilly2010[no. 105]
F-2354,pkn,P-469,"*do-t̪i, pl. *no-ni ",,horn,jakobiA[no. 312]
F-997,pkn,P-238,"*dog-ud̪, pl. *dog",,slave,jakobiA[no. 132 b]
F-1562,pkn,P-366,*d̪oi-t̪ʊ,,"cloud, appears unrelated",jakobiA[no. 437]
F-2518,pkn,P-363,"*dojj-u, pl. *dejj-i",,,rilly2010[]
F-2781,pnu,P-478,*dol-,,"Khalil: Sah loan jōle 'sammeln, ernten' (Crum 766a)",rilly2010[no. 37]
F-2782,pnu,P-477,*doll,,only in East-Nubian,rilly2010[no. 3]
F-2569,pkn,P-360,"*dor, pl.*dor-i",,"skin, fur",jakobiA[no. 42]; jakobiA[no. 311]
F-2509,pkn,P-515,*d̪ot̪-i,,mud,jakobiA[no. 456]
F-2783,pnu,P-492,*dumm-,,,rilly2010[no. 37]
F-2784,pnu,P-387,*dúŋ(-ur),,,rilly2010[no. 9]
F-2785,pnu,P-528,*duri,,,rilly2010[no. 195]
F-2328,pkn,P-365,*ɖiː-,,to drink,jakobiA[398]
F-1575,pkn,P-369,*ɖɔt̪-igir,,"to cut off, prob. unrelated",jakobiA[no. 232]
F-2786,pnu,P-210,*e(e)l- / *m-e(e)l-,,,rilly2010[no. 112]]
F-2787,pnu,P-388,*e(e)r-i,,,rilly2010[no. 34]
F-1822,pkn,P-426,*eb,,"neck, nape",jakobiA[no. 21]
F-1917,pkn,P-447,*eb,,tail,jakobiA[no. 313]
F-2788,pnu,P-426,*ebe ~ *ee,,,rilly2010[no. 35]
F-2789,pnu,P-494,*ebed,,,rilly2010[no. 43]
F-2372,pkn,P-494,*ébìt̪ʊ̀,,Creator,jakobiA[no. 350]
F-2790,pnu,P-336,"*eeb-, *(e)b-(V)r",,,rilly2010[no. 10]
F-2791,pnu,P-123,*éen,,,rilly2010[no. 113]
F-2792,pnu,P-124,*een-as(ti) > *eenes(ti),,,rilly2010[no. 171]
F-2793,pnu,P-422,*eeɲ-,,,rilly2010[no. 147]
F-2794,pnu,P-11,*eer,,,rilly2010[no. 128]
F-2795,pnu,P-225,*éer,,,rilly2010[no. 172]
F-2796,pnu,P-104,*ees-i,,,rilly2010[no. 173]
F-2797,pnu,P-136,*eged,,possibly loan from Berber,rilly2010[no. 120]
F-841,pkn,P-104,*eɟ,,sun,jakobiA[no. 429]
F-1811,pkn,P-424,*eɟ-,,milk,jakobiA[no. 402]
F-1831,pkn,P-427,*eɟVŋ,,nose,jakobiA[no. 12]
F-2798,pnu,P-93,*el,,,rilly2010[]
F-2799,pnu,P-529,*el-,,,rilly2010[]
F-440,pkn,P-117,"*el-d̪i, *el-i",,"woman, wife",jakobiA[no. 130]
F-2800,pnu,P-95,*eɲ ± -*g/*j,,,rilly2010[no. 153]
F-934,pkn,P-225,*er,,thirst,jakobiA[no. 397]
F-2801,pnu,P-98,*er-,,,rilly2010[no. 144]
F-2802,pnu,P-391,*er-ti,,,rilly2010[no. 165]
F-2803,pnu,P-454,"*erde, *erk <*erd-k?",,,rilly2010[no. 187]
F-2804,pnu,P-310,*eri,,,rilly2010[no. 124]
F-2805,pnu,P-120,*ernde < *er-n-de,,,rilly2010[no. 114]
F-2806,pnu,P-434,*err-i,,,rilly2010[no. 32]
F-1413,pkn,P-331,*erʃ-i,,wind,jakobiA[no. 435]
F-2807,pnu,P-110,*es-i,,,rilly2010[no. 108]
F-2808,pnu,P-40,*es-ti,,Jakobi 2004: *VS-tV; BG: *əsti,rilly2010[no. 51]
F-2809,pnu,P-106,*esk,,,rilly2010[]
F-1466,pkn,P-336,*ɛb-ɛr,,to wash (hands),jakobiA[no. 56]
F-2325,pkn,P-336,*ɛb-ɛr,,"to bathe, take a bath",jakobiA[no. 55]
F-1801,pkn,P-423,*ɛd̪-,,"to marry, take a wife",jakobiA[no. 112]
F-527,pkn,P-134,*ɛd̪-,,"to marry, to a wife",jakobiA[no. 112]
F-467,pkn,P-123,*ɛ́n-à,,mother,jakobiA[no. 116]
F-2536,pkn,P-120,*ɛnd̪ɛ,,"millet, dukhn",jakobiA[no. 416a]
F-1796,pkn,P-422,*ɛɲ,,many ,jakobiA[no. 480]
F-1828,pkn,P-11,*ɛr,,new,jakobiA[no. 592]
F-349,pkn,P-98,*ɛr-,,"to fear, taboo",jakobiA[no. 560]
F-1172,pkn,P-273,*fab-a,,father,jakobiA[no. 114]
F-2567,pkn,P-523,*fai,,"to tell, say",jakobiA[no. 140]
F-1235,pkn,P-290,*faɟ-ɛ,,wide,jakobiA[no. 570]
F-1967,pkn,P-270,*faɟ-ɛ,,wide,jakobiA[570]
F-2364,pkn,P-493,*fan,,to dance,jakobiA[no. 0]
F-1942,pkn,P-452,*farʃ-,,twin,jakobiA[no. 128]
F-2486,pkn,P-511,*fɛrt-̪,,to throw toward,jakobiA[no. 102]
F-2496,pkn,P-513,*fia,,"language, word",jakobiA[no. 138]
F-1847,pkn,P-431,"*fil-t̪ʊ, pl. fil-i",,rib,jakobiA[no. 33]
F-2664,pkn,P-281,*fol-,,"to rise (sun), to get out",jakobiA[no. 429a]
F-2008,pkn,P-462,*for-nd̪i,,brains,jakobiA[no. 4]
F-706,pkn,P-475,"*for, pl. *for-i",,"tree, wood",jakobiA[no. 465]
F-2375,pkn,P-265,*fuk-?,,to divide,jakobiA[no. 0]
F-1776,pkn,P-419,*fur-,,"to kill, extinguish",jakobiA[no. 303]; jakobiA[no. 215]
F-1638,pkn,P-385,*gar,,bitter,jakobiA[no. 551]
F-2810,pnu,P-57,*geel-e,,,rilly2010[no. 160]
F-2811,pnu,P-59,*gen,,,rilly2010[no. 15]
F-852,pkn,P-396,*gɛr-,,to cut off,jakobiA[no. 73]; jakobiA[no. 232]
F-2812,pnu,P-74,*gijer,,,rilly2010[no. 57]
F-2813,pnu,P-67,"*gis-e, sg. *gis(i)-ti",,,rilly2010[no. 84]
F-2814,pnu,P-75,*goɲ,,,rilly2010[no. 31]
F-2815,pnu,P-502,*goor or *koor,,,rilly2010[no. 73]
F-2459,pkn,P-368,*gor,,"big, old person, fat",jakobiA[no. 566]; jakobiA[no. 107a]
F-1632,pkn,P-384,*gor-,,"big, old person, fat",jakobiA[no. 566]; jakobiA[no. 107a]
F-2816,pnu,P-69,*gorji,,,rilly2010[no. 170]
F-2817,pnu,P-193,"*gos-kal, sg. *gos-kal-ti",,,rilly2010[no. 132]
F-2818,pnu,P-393,*gur,,,rilly2010[no. 179]
F-2819,pnu,P-520,*gurw-e-(n)-di (with dim.),,,rilly2010[no. 126]
F-2820,pnu,P-505,*gusin-ti < *usigu-n-ti?,,,rilly2010[no. 77]
F-2821,pnu,P-194,*gVr-,,,rilly2010[no. 158]
F-2822,pnu,P-128,*i(n) ± *-r,,,rilly2010[no. 184]
F-2823,pnu,P-109,*i(s)-er,,,rilly2010[no. 162]
F-2824,pnu,P-137,"*id, pl. *ir",,,rilly2010[no. 141]
F-543,pkn,P-137,"*id̪, pl. *ir",,"person, man, people",jakobiA[no. 104]
F-2032,pkn,P-465,*id̪d̪-,,eight,jakobiA[no. 494]
F-2825,pnu,P-465,*idiwi ~ *iduwi,,,rilly2010[no. 88]
F-2826,pnu,P-259,*igi ~ *ugi (E: +*r),,,rilly2010[no. 200]
F-2827,pnu,P-424,*ijji < *ij-ti?,,,rilly2010[no. 96]
F-1884,pkn,P-439,*iɟ-,,bad smell,jakobiA[no. 541]
F-420,pkn,P-112,*íkà,,fire,jakobiA[no. 210]
F-1653,pkn,P-388,*il,,body,jakobiA[no. 1]
F-2828,pnu,P-117,*il-di,,,rilly2010[no. 66]
F-2829,pnu,P-122,*in,,,rilly2010[no. 20]
F-1912,pkn,P-41,*iŋ-,,sweet,jakobiA[no. 586]
F-1852,pkn,P-432,*ir,,river,jakobiA[no. 452]
F-2830,pnu,P-212,*ir-,,"*m-ir ""sterile"" (178)",rilly2010[no. 56]
F-401,pkn,P-109,*ir-,,to know,jakobiA[no. 545]
F-1099,pkn,P-212,"*ir-, *ir-k-",,"to bear (child), give birth",jakobiA[no. 79]
F-326,pkn,P-32,*ir-/*ir-k,,to bear (child)m give birth,jakobiA[no. 79]
F-2831,pnu,P-525,"*is-i, sg. is(i)-di",,,rilly2010[no. 152]
F-2832,pnu,P-527,*is-kin-ti,,,rilly2010[no. 177]
F-2833,pnu,P-133,*is-kir,,,rilly2010[no. 39]
F-2834,pnu,P-509,"*isker, sg. *isker-ti ",,from PN *is-kir 'to ask',rilly2010[no. 87]
F-2835,pnu,P-237,*iskolda ~ *oskolda,,,rilly2010[no. 121]
F-2600,pkn,P-525,"*it̪i, sg. *it̪i-d̪u",,louse,
F-2836,pnu,P-432,*iwer(-ti),,,rilly2010[no. 159]
F-395,pkn,P-107,*ɪnt̪-an < *ɪn-t̪ʊ-an,,elder brother,jakobiA[no. 124]
F-2413,pkn,P-23,*ɪr,,to do ,jakobiA[no. 0]
F-2626,pkn,P-139,*ɪrɪn?,,scorpion,
F-1854,pkn,P-433,*ɪrt̪-,,root,jakobiA[no. 466]
F-2837,pnu,P-344,*jaan,,,rilly2010[no. 2]
F-2838,pnu,P-343,*jaar,,,rilly2010[no. 181]
F-2839,pnu,P-345,*jeleb,,,rilly2010[no. 100]
F-2840,pnu,P-352,*jug,,,rilly2010[no. 23]
F-2841,pnu,P-350,*juur,,,rilly2010[no. 4]
F-1928,pkn,P-450,*ɟal-d̪i,,tongue,jakobiA[no. 18]
F-1528,pkn,P-359,*ɟɛr-,,"to sleep, lie down",jakobiA[no. 59]
F-1933,pkn,P-451,*ɟil-d̪i,,tooth,jakobiA[no. 19]
F-724,pkn,P-179,*ɟoŋel,,left (hand),jakobiA[no. 27]
F-2842,pnu,P-460,"*ka-wer-e, pl. *ka-wer-ti",,,rilly2010[no. 133]
F-2843,pwn,P-338,*ka(a)l,,"E has ""mouth""",rilly2010[no. 150]
F-2844,pnu,P-171,*kade,,,rilly2010[no. 193]
F-2845,pnu,P-522,*kag-,,,rilly2010[no. 137]
F-578,pkn,P-145,*kag-,,to carry,jakobiA[no. 224]
F-2846,pnu,P-219,*kaj-i,,,rilly2010[no. 6]
F-676,pekn,P-170,*kakar,,stone,jakobiA[no. 454]
F-2847,pnu,P-147,*kal-,,,rilly2010[no. 110]
F-2592,pkn,P-338,*kal-?,,door,
F-2848,pwn,P-521,"*kal-e, sg. kal-ti",,Not reconstructable for Meidob,rilly2010[]
F-647,pkn,P-161,"*kal, ka:l",,end,jakobiA[no. 518]
F-590,pkn,P-147,*kam-,,to eat (pl. object),jakobiA[no. 392]
F-2849,pnu,P-150,*kándi,,,rilly2010[no. 59]
F-2850,pnu,P-473,*kaŋ(-ur) ~ *koŋ-ur,,,rilly2010[no. 169]
F-2851,pnu,P-367,*kar,,,rilly2010[no. 109]
F-2047,pkn,P-466,*kar-,,to grind,jakobiA[no. 235]
F-2852,pnu,P-71,*kar-,,possible Eg. loan,rilly2010[no. 17]
F-2853,pnu,P-496,*kar(-ti),,,rilly2010[no. 54]
F-2854,pnu,P-499,*kar(r)i,,,rilly2010[no. 66]
F-2046,pkn,P-466,*karɛ,,flour,jakobiA[no. 414]
F-569,pkn,P-144,*karʃ-,,to cook,jakobiA[no. 219]
F-570,pkn,P-144,*karʃ-,,to ripen,jakobiA[no. 472]
F-2855,pnu,P-160,*keer-,,,rilly2010[no. 116]
F-2856,pnu,P-125,*kege-di < *kedi-di,,"with dissimilation; mei, fia, onw have < *eenes(ti) < *een-as(ti) ""girl of the mother""",rilly2010[no. 171]
F-2857,pnu,P-162,*kem(-n)-si,,,rilly2010[no. 154]
F-653,pkn,P-162,*kemɟ-/*kemʃ-?,,four,jakobiA[no. 490]
F-1163,pkn,P-57,*kɛl-,,red,jakobiA[no. 583]
F-1164,pkn,P-271,*kɛl-,,to write,jakobiA[no. 159]
F-2301,pkn,P-59,*kɛn,,good,jakobiA[no. 574]
F-655,pkn,P-163,*kɛɲ,,heel,jakobiA[no. 41]
F-685,pkn,P-171,"*ki-t̪i, pl. ki-ni",,piece of cloth,jakobiA[no. 418]
F-1761,pkn,P-415,*kiɟ-ɛr,,"to hear, listen, obey",jakobiA[no. 546]; jakobiA[no. 118]
F-2395,pkn,P-74,*kiɟ-ɛr,,"to hear, listen, obey",jakobiA[no. 546]; jakobiA[no. 118]
F-2858,pnu,P-389,"*kiser, sg. *kisir-ti",,,rilly2010[no. 136]
F-475,pkn,P-125,*kɪd̪ < *keedi,,fils de la soeur,rilly2010[no. 171]
F-232,pkn,P-75,*koaɲ,,to build,jakobiA[no. 195]
F-932,pkn,P-224,"*kog-d̪ʊ ~ *kog-ʊd̪, pl. *kog-ɛ",,"foot, leg, unrelated?",jakobiA[no. 39]
F-1655,pkn,P-389,*koɟ-d̪V,,bone,jakobiA[no. 44]
F-901,pkn,P-219,"*koɟ, pl. *koɟ-i",,horse,jakobiA[no. 284a]
F-639,pkn,P-159,*koɟ(-i),,horse,jakobiA[no. 284]; jakobiA[no. 284a]
F-1897,pkn,P-443,*kok-,,to split,jakobiA[no. 257]
F-677,pwkn,P-170,*kok-und̪u,,rock,jakobiA[no. 446]
F-675,pwkn,P-170,*kok-Vnd̪u,,stone,jakobiA[no. 454]
F-768,pkn,P-189,*kol,,"hole, well",jakobiA[no. 206]
F-2059,pkn,P-147,*kol-,,to eat (sg. object),jakobiA[no. 392]
F-1956,pkn,P-456,*kol-d̪i,,vulture,jakobiA[no. 348]
F-1569,pkn,P-367,"*kol, pl. *kol-i",,"house, hut",jakobiA[no. 196]
F-2859,pnu,P-177,*kòlòdà,,,rilly2010[no. 168]
F-2126,pkn,P-473,"*kom-il, *koŋ-il?",,snake,jakobiA[no. 330]
F-605,pwkn,P-150,*kond-,,knife,jakobiA[no. 248]
F-754,pkn,P-186,*koɲ,,"face, foreheaad",jakobiA[no. 7]; jakobiA[no. 6]
F-2860,pnu,P-186,*koɲ(ɲi),,,rilly2010[no. 196]
F-2861,pnu,P-516,*koo,,,rilly2010[no. 130]
F-2862,pwn,P-180,*kool,,,rilly2010[no. 13]
F-2863,pnn,P-180,*koor,,,rilly2010[no. 13]
F-613,pkn,P-71,*kor-i,,shield,jakobiA[no. 304]
F-2473,pkn,P-508,"*kor-t̪i, pl. *kor",,man,jakobiA[no. 129]
F-2864,pnu,P-47,*kos-i,,,rilly2010[no. 194]
F-1869,pkn,P-436,*kɔg-ir-,,to scratch,jakobiA[no. 378]
F-1806,pkn,P-47,*kɔɟ-ɛ,,"meat, flesh",jakobiA[no. 401]; jakobiA[no. 43]
F-731,pkn,P-180,*kɔl-,,wound,jakobiA[no. 72]
F-907,pkn,P-220,*kɔl-,,night,jakobiA[no. 524]
F-716,pkn,P-177,*kɔlad̪,,seven,jakobiA[no. 493]
F-1994,pkn,P-460,"*kɔm-t̪i, *kɔb-t̪i",,bird,jakobiA[no. 342]
F-2411,pkn,P-498,"*kɔmur, *koŋur?",,hunger,jakobiA[no. 391]
F-785,pkn,P-193,"*kɔɲɪl, sg. *kɔɲɪl-t̪ʊ",,egg,jakobiA[no. 399]
F-2387,pkn,P-496,*kɔr,,fence,jakobiA[no. 0]
F-2433,pkn,P-502,*kɔr,,soldier ant,jakobiA[no. 336]
F-2120,pkn,P-472,*kɔr-t̪i,,shoe,jakobiA[no. 423]
F-302,pkn,P-69,*kɔrʃ-i,,six,jakobiA[no. 492]
F-1711,pkn,P-402,*kɔrʊl,,fish,jakobiA[no. 326]
F-2427,pkn,P-501,"*kugul, pl. *kugul-i",,bull for breeding,jakobiA[no. 276a]
F-948,pkn,P-228,*kuɟ,,to hang up,jakobiA[no. 256]
F-2537,pkn,P-190,*kul-d̪i,,mountain,jakobiA[no. 445]
F-2672,pkn,P-527,*kum-ɛ,,"rat, mouse?",jakobiA[no. 325]
F-1667,pkn,P-392,*kuɲ-,,to bury,jakobiA[no. 556]
F-2865,pnu,P-235,*kur ~ *ur(-ti),,,rilly2010[no. 120]
F-2866,pnu,P-508,*kur-,,,rilly2010[no. 86]
F-2867,pnu,P-420,*kur-ti,,,rilly2010[no. 79]
F-2868,pnu,P-170,*kur-ti < *kuur + *ti (child of the mountain),,"seems to have had different reflexes, cf. ""mountain""",rilly2010[no. 146]
F-2869,pnu,P-195,*kus-,,,rilly2010[no. 137]
F-1781,pkn,P-420,*kut̪-,,knee,jakobiA[no. 37]
F-2870,pnu,P-190,*kuur,,,rilly2010[no. 115]
F-2871,pnu,P-518,*kuus ~ *uus,,,rilly2010[no. 112]
F-1672,pkn,P-393,*kʊr-,,calf,jakobiA[no. 279]
F-606,pekn,P-150,*kwàt-àr,,knife,jakobiA[no. 248]
F-2872,pnu,P-199,*man,,,rilly2010[no. 19]
F-2873,pnu,P-507,"*mand, *mond",,,rilly2010[no. 84]
F-2294,pkn,P-483,*maɲ,,back of body,jakobiA[no. 32]
F-2874,pnu,P-483,*maɲ- (W) / *jer- (E+mei),,,rilly2010[no. 49]
F-2875,pnu,P-484,*marg- < *m-ar-g-,,,rilly2010[no. 199]
F-2876,pnn,P-211,*min,,,rilly2010[no. 155]
F-2877,pnu,P-216,*mogur,,,rilly2010[no. 89]
F-2878,pnu,P-214,*mon < *m-oon,,,rilly2010[no. 83]
F-887,pkn,P-214,*mon-,,,jakobiA[no. 532]; jakobiA[no. 148]
F-2469,pkn,P-507,*mon-d̪i,,grass,jakobiA[no. 475]
F-2605,pkn,P-211,*na(a),,what?,
F-2879,pwn,P-211,*naa/*nee,,,rilly2010[no. 155]
F-2880,pnu,P-366,"*naj-i, sg. *naj(i)-di",,,rilly2010[no. 129]
F-2881,pnu,P-363,*nass-i,,,rilly2010[no. 104]
F-2882,pnu,P-504,*neɲ-i,,,rilly2010[no. 76]
F-2883,pnu,P-365,*nii-,,,rilly2010[no. 14]
F-2884,pnu,P-457,*nog- / *nog-j-,,,rilly2010[no. 111]
F-2885,pnu,P-238,"*nogu, sg. *nogu-di",,,rilly2010[no. 60]
F-2399,pkn,P-62,*nom-,,thorn,jakobiA[no. 469]
F-1091,pekn,P-256,*non-t̪i,,"moon, month",jakobiA[no. 433]
F-2886,pnu,P-515,*noog,,,rilly2010[no. 102]
F-2887,pnu,P-360,*noor (or *nawer),,,rilly2010[no. 139]
F-2888,pnu,P-375,*nor-e,,,rilly2010[no. 142]
F-2889,pnu,P-62,*num-,,,rilly2010[no. 59]
F-2890,pnu,P-355,*ŋaa-i,,,rilly2010[no. 156]
F-2891,pnu,P-385,*ŋadd-i ~ *ŋard-i,,,rilly2010[no. 5]
F-1960,pkn,P-457,*ŋaɟ-,,to walk,jakobiA[no. 91]
F-1519,pkn,P-357,*ŋal,,to see,jakobiA[no. 548]
F-2892,pnu,P-49,*ŋal-,,,rilly2010[no. 137]
F-2893,pnu,P-357,*ŋal-,,,rilly2010[no. 198]
F-2894,pnu,P-450,"*ŋal, sg. *ŋal-di",,,rilly2010[no. 99]
F-2895,pnu,P-358,*ŋar,,"PKN, dgl, xnz have ""child""",rilly2010[no. 70]
F-2896,pnu,P-359,*ŋèer-,,,rilly2010[no. 48]
F-2897,pnu,P-469,"*ŋees-i, sg. *ŋes-ti",,,rilly2010[no. 33]
F-2898,pnu,P-451,"*ŋil, sg. *ŋíl-di",,,rilly2010[no. 40]
F-2899,pnu,P-179,*ŋiŋ-gor < *uŋŋi-n-gor?,,reconstruction unlikely,rilly2010[no. 78]
F-2900,pnu,P-369,*ŋodd,,,rilly2010[no. 1]
F-2901,pnu,P-368,*ŋoor-,,,rilly2010[no. 81]
F-1890,pkn,P-441,*ŋorg-,,to snore,jakobiA[no. 62]
F-2339,pkn,P-489,*ob-,,hot,jakobiA[no. 598]
F-1614,pkn,P-379,*ob-t̪V,,ashes,jakobiA[no. 214]
F-939,pkn,P-226,"*og-, *ʊʃ-",,to call,jakobiA[no. 136]
F-2902,pnu,P-221,*og-i,,,rilly2010[no. 165]
